date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:19:43	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Sep%202024%2010:19:43%20GMT	https://yt-portfolio-website3.vercel.app/robots.txt		(from )
03:19:44	6777/6777	---MCZ	200	added ('OK')	text/html	etag:W/%22f7be287f8dfb0b358f697c3881395116%22	https://yt-portfolio-website3.vercel.app/	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/index.html	(from )
03:19:45	68028/68028	---MCZ	200	added ('OK')	text/css	etag:W/%22109bc-IH/O3L/2oFuyFxGxc9h5/AQWzS0%22	https://unpkg.com/boxicons@2.1.4/css/boxicons.min.css	C:/My%20Web%20Sites/ali/unpkg.com/boxicons@2.1.4/css/boxicons.min.css	(from https://yt-portfolio-website3.vercel.app/)
03:19:45	9639/9639	---MCZ	200	added ('OK')	text/css	etag:W/%22543111f2038e6bacdac92331cb2de759%22	https://yt-portfolio-website3.vercel.app/style.css	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/style.css	(from https://yt-portfolio-website3.vercel.app/)
03:19:48	1201227/1201227	---M--	200	added ('OK')	image/jpeg	etag:%22d7400d72a160078523b407b47bdc37d8%22	https://yt-portfolio-website3.vercel.app/assets/image.jpg	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/assets/image.jpg	(from https://yt-portfolio-website3.vercel.app/)
03:19:48	550704/550704	---M--	200	added ('OK')	image/jpeg	etag:%22a05504d753fb64803476d04f0019bc8c%22	https://yt-portfolio-website3.vercel.app/assets/1.jpg	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/assets/1.jpg	(from https://yt-portfolio-website3.vercel.app/)
03:19:49	296351/296351	---M--	200	added ('OK')	image/jpeg	etag:%22cf7f5c069e0533b5af67b85ed5641f97%22	https://yt-portfolio-website3.vercel.app/assets/2.jpg	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/assets/2.jpg	(from https://yt-portfolio-website3.vercel.app/)
03:19:50	739761/739761	---M--	200	added ('OK')	image/jpeg	etag:%2251b059f987b1e6555209dc3c13899411%22	https://yt-portfolio-website3.vercel.app/assets/3.jpg	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/assets/3.jpg	(from https://yt-portfolio-website3.vercel.app/)
03:19:51	406485/406485	---M--	200	added ('OK')	image/jpeg	etag:%22bec972cc97b46454f91a59979c773945%22	https://yt-portfolio-website3.vercel.app/assets/4.jpg	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/assets/4.jpg	(from https://yt-portfolio-website3.vercel.app/)
03:19:52	744601/744601	---M--	200	added ('OK')	image/jpeg	etag:%22a92b51aa391c701ae87e85fa49b37c66%22	https://yt-portfolio-website3.vercel.app/assets/5.jpg	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/assets/5.jpg	(from https://yt-portfolio-website3.vercel.app/)
03:19:52	9843/9843	---MCZ	200	added ('OK')	application/javascript	etag:W/%222673-VtN6K93BTinJi+6SKQF+syb+CZQ%22	https://unpkg.com/typed.js@2.1.0/dist/typed.umd.js	C:/My%20Web%20Sites/ali/unpkg.com/typed.js@2.1.0/dist/typed.umd.js	(from https://yt-portfolio-website3.vercel.app/)
03:19:53	350711/350711	---M--	200	added ('OK')	image/jpeg	etag:%222fed8fa56f725807dd48d19b8ae8492f%22	https://yt-portfolio-website3.vercel.app/assets/6.jpg	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/assets/6.jpg	(from https://yt-portfolio-website3.vercel.app/)
03:19:53	581/581	---M--	200	added ('OK')	application/javascript	etag:%224d802d9df972cac1dcec3799aad2bdd1%22	https://yt-portfolio-website3.vercel.app/script.js	C:/My%20Web%20Sites/ali/yt-portfolio-website3.vercel.app/script.js	(from https://yt-portfolio-website3.vercel.app/)
